,SpecGen,daytype_code,daypart_code,dataper_code,Volume,Counts,day_type,day_part,data_period
81,Airport,0,1,1,6702.893150684499,84364,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
82,BYU,0,1,1,1057.1095890410645,13305,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
83,ENSIGN,0,1,1,97.16986301369816,1223,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
84,Lagoon,0,1,1,74.84383561643861,942,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
85,SLCC_AIRP,0,1,1,1125.835616438335,14170,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
86,SLCC_HL,0,1,1,185.67945205479253,2337,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
87,SLCC_HM,0,1,1,430.70958904108903,5421,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
88,SLCC_JD,0,1,1,69.36164383561663,873,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
89,SLCC_LB,0,1,1,27.56986301369862,347,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
90,SLCC_MEAD,0,1,1,76.98904109589066,969,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
91,SLCC_ML,0,1,1,196.48493150685186,2473,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
92,SLCC_SC,0,1,1,250.19452054794726,3149,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
93,SLCC_TL,0,1,1,265.608219178085,3343,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
94,SLCC_WEST,0,1,1,452.1616438356119,5691,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
95,SLC_Library,0,1,1,27.56986301369862,347,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
96,TempleSquare,0,1,1,460.26575342465003,5793,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
97,UOFU_MAIN,0,1,1,844.7342465752981,10632,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
98,UOFU_MED,0,1,1,2017.2082191779566,25389,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
99,UVU_GENEVA,0,1,1,479.2547945205343,6032,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
100,UVU_MAIN,0,1,1,416.010958904109,5236,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
101,UVU_PAYSON,0,1,1,18.750684931506868,236,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
102,UVU_THANKP,0,1,1,74.68493150684948,940,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
103,UVU_VINE,0,1,1,32.178082191780746,405,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
104,WESTMIN,0,1,1,97.40821917808279,1226,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
105,WSU_DAVIS,0,1,1,417.75890410958385,5258,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
106,WSU_OGDEN,0,1,1,276.57260273973066,3481,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
107,WSU_WEST,0,1,1,221.3534246575353,2786,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
108,Airport,1,1,1,6751.643312102663,36552,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
109,BYU,1,1,1,1142.636942675127,6186,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
110,ENSIGN,1,1,1,126.89808917197459,687,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
111,Lagoon,1,1,1,53.197452229299394,288,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
112,SLCC_AIRP,1,1,1,1548.8216560509866,8385,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
113,SLCC_HL,1,1,1,206.32484076433136,1117,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
114,SLCC_HM,1,1,1,464.92356687897103,2517,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
115,SLCC_JD,1,1,1,102.51592356687902,555,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
116,SLCC_LB,1,1,1,24.936305732484097,135,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
117,SLCC_MEAD,1,1,1,93.64968152866247,507,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
118,SLCC_ML,1,1,1,273.3757961783436,1480,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
119,SLCC_SC,1,1,1,274.8535031847131,1488,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
120,SLCC_TL,1,1,1,300.159235668789,1625,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
121,SLCC_WEST,1,1,1,654.2547770700527,3542,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
122,SLC_Library,1,1,1,24.936305732484097,135,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
123,TempleSquare,1,1,1,588.8662420382061,3188,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
124,UOFU_MAIN,1,1,1,1046.5859872611072,5666,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
125,UOFU_MED,1,1,1,2480.3312101911893,13428,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
126,UVU_GENEVA,1,1,1,473.7898089171855,2565,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
127,UVU_MAIN,1,1,1,470.46496815285394,2547,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
128,UVU_PAYSON,1,1,1,19.579617834394913,106,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
129,UVU_THANKP,1,1,1,102.33121019108285,554,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
130,UVU_VINE,1,1,1,41.929936305732504,227,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
131,WESTMIN,1,1,1,91.61783439490452,496,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
132,WSU_DAVIS,1,1,1,486.35031847132956,2633,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
133,WSU_OGDEN,1,1,1,316.04458598726023,1711,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
134,WSU_WEST,1,1,1,270.23566878980904,1463,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
135,Airport,2,1,1,5917.394230768387,21221,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
136,BYU,2,1,1,925.7692307692444,3320,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
137,ENSIGN,2,1,1,50.19230769230763,180,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
138,Lagoon,2,1,1,107.91346153846189,387,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
139,SLCC_AIRP,2,1,1,438.90384615384335,1574,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
140,SLCC_HL,2,1,1,149.46153846153933,536,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
141,SLCC_HM,2,1,1,374.211538461541,1342,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
142,SLCC_JD,2,1,1,29.83653846153844,107,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
143,SLCC_LB,2,1,1,40.1538461538461,144,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
144,SLCC_MEAD,2,1,1,27.048076923076888,97,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
145,SLCC_ML,2,1,1,57.442307692307615,206,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
146,SLCC_SC,2,1,1,247.33653846154195,887,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
147,SLCC_TL,2,1,1,210.25000000000279,754,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
148,SLCC_WEST,2,1,1,135.24038461538527,485,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
149,SLC_Library,2,1,1,40.1538461538461,144,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
150,TempleSquare,2,1,1,229.49038461538757,823,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
151,UOFU_MAIN,2,1,1,432.49038461538174,1551,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
152,UOFU_MED,2,1,1,981.5384615384704,3520,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
153,UVU_GENEVA,2,1,1,512.7980769230716,1839,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
154,UVU_MAIN,2,1,1,314.81730769231234,1129,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
155,UVU_PAYSON,2,1,1,18.125,65,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
156,UVU_THANKP,2,1,1,26.49038461538459,95,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
157,UVU_VINE,2,1,1,6.692307692307693,24,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
158,WESTMIN,2,1,1,116.8365384615386,419,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
159,WSU_DAVIS,2,1,1,301.99038461538663,1083,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
160,WSU_OGDEN,2,1,1,163.4038461538479,586,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
161,WSU_WEST,2,1,1,155.59615384615483,558,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1. All year
162,Airport,0,2,1,9756.076712331454,122792,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
163,BYU,0,2,1,9062.063013697927,114057,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
164,ENSIGN,0,2,1,658.8958904109417,8293,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
165,Lagoon,0,2,1,491.41095890409855,6185,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
166,SLCC_AIRP,0,2,1,2140.199999999969,26937,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
167,SLCC_HL,0,2,1,816.6082191780725,10278,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
168,SLCC_HM,0,2,1,1468.909589041059,18488,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
169,SLCC_JD,0,2,1,833.5315068493029,10491,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
170,SLCC_LB,0,2,1,189.0164383561599,2379,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
171,SLCC_MEAD,0,2,1,464.7945205479362,5850,0: All Days (Mo-Su),2: Peak AM (6am-9am),1. All year
